Time,Te,Ghs,Dfs,Ws,Wd,RH
119,7.76,0.38,0.17,1.27,276.7,71.99
120,7.71,0.38,0.17,0.97,272.85,72.13
121,7.66,0.38,0.17,1.2,293.9,71.77
122,7.63,0.4,0.17,1.6,266.55,71.94
123,7.53,0.4,0.17,1.48,242.1,72.95
124,7.41,0.38,0.17,1.73,247.35,73.1
125,7.36,0.36,0.17,2.26,263.7,73.39
126,7.14,0.35,0.17,1.72,252.5,75.45
127,6.82,0.35,0.17,1.23,231.75,76.1
128,6.76,0.35,0.17,1.32,233.45,75.94
129,6.74,0.35,0.17,1.19,222.55,77.19
130,6.62,0.35,0.17,1.16,211.75,78.43
131,6.53,0.35,0.17,1.04,193.75,79.14
132,6.4,0.35,0.17,0.77,181.5,79.71
133,6.29,0.34,0.17,0.41,196.65,80.08
134,6.25,0.35,0.17,0.67,227.6,79.35
135,6.35,0.35,0.17,1.1,257.55,77.95
136,6.62,0.35,0.17,1.35,279.15,76.55
137,6.75,0.35,0.17,1.23,239.3,77.19
138,6.66,0.35,0.17,1.08,215.55,77.95
139,6.68,0.35,0.17,1.39,248.85,77.68
140,6.75,0.35,0.17,1.6,244.1,77.34
141,6.78,0.36,0.17,1.71,212.45,76.88
142,6.75,0.37,0.17,1.88,185.55,78.18
143,6.67,0.38,0.17,2.08,200.75,80.08
144,6.6,0.38,0.17,1.88,219.55,81.1
145,6.54,0.36,0.17,1.85,240.05,82.05
146,6.51,0.35,0.17,2.02,295.1,82.85
147,6.51,0.35,0.17,1.94,276.15,83.15
148,6.53,0.35,0.17,1.82,223.2,83.15
149,6.54,0.35,0.17,1.65,194.45,83.3
150,6.51,0.35,0.17,1.74,185.2,83.5
151,6.55,0.35,0.17,1.99,215.15,83.15
152,6.62,0.35,0.17,2.06,231.15,82.75
153,6.61,0.35,0.17,2.1,215.75,82.8
154,6.63,0.35,0.17,2.07,209.15,82.65
155,6.74,0.36,0.17,1.89,216.35,82.2
156,6.87,0.38,0.17,1.85,220.9,81.9
157,6.95,0.38,0.17,1.84,231.95,82.15
158,7.04,0.38,0.17,1.85,243.15,82.8
159,7.1,0.38,0.17,1.6,243.75,83.65
160,7.09,0.37,0.17,1.35,231,85.05
161,7.05,0.36,0.17,1.51,214.3,86.35
162,7,0.36,0.17,1.48,214.75,87.2
163,6.96,0.36,0.17,1.4,205.95,88.25
164,6.92,0.35,0.17,1.46,204.8,89.65
165,6.85,0.36,0.17,1.53,213.8,90.95
166,6.78,0.36,0.17,1.42,215.75,92
167,6.85,0.35,0.17,1.59,240.35,93.3
168,6.98,0.35,0.17,2.62,238.7,94.6
169,6.98,0.36,0.17,2.9,212.35,95.1
170,6.94,0.36,0.17,2.49,231.05,94.95
171,6.94,0.36,0.17,2.18,221.95,94.8
172,6.93,0.36,0.17,1.82,207.4,95.3
173,6.86,0.36,0.17,1.52,199.3,96.05
174,6.78,0.35,0.17,1.3,222.9,96.75
175,6.73,0.35,0.17,1.62,170.4,97.45
176,6.73,0.35,0.17,1.76,164.15,97.6
177,6.76,0.36,0.17,1.36,242.95,97.3
178,6.76,0.35,0.17,1.08,245.4,96.85
179,6.71,0.35,0.17,1.13,247.8,96.45
180,6.7,0.35,0.17,0.96,248.8,96.15
181,6.74,0.38,0.2,0.8,283.8,95.7
182,6.79,0.92,0.64,0.86,273.45,95.25
183,6.95,2.1,1.74,1.19,256.85,94.25
184,7.18,4.33,3.9,1.94,278.7,92.9
185,7.31,8.13,7.61,2.36,281.2,92.4
186,7.35,13.5,12.84,2.64,265.15,92.55
187,7.37,22.01,21.28,3.27,248.6,92.95
188,7.38,34.25,33.35,3.35,254.65,93.2
189,7.39,50.78,48.48,2.96,266.5,93.05
190,7.45,84.68,64.8,2.82,263.3,92.3
191,7.63,132,82.96,2.89,236.05,91.15
192,7.8,120.5,86.23,3.27,226.7,91.45
193,7.82,69.05,65,3.03,239.2,92.7
194,7.79,57.55,55.89,2.7,252.25,93.45
195,7.82,79.8,77.27,2.84,266.65,93.4
196,7.99,118.45,113.7,2.79,268.35,92.45
197,8.12,133.45,123.65,3.2,278.1,91.75
198,8.15,131.15,106.4,3.62,274.6,91.4
199,8.22,123.65,101.7,3.53,279.25,91.35
200,8.27,76.43,71.83,3.29,287.8,91.6
201,8.26,27.8,26.65,2.99,287.45,91.8
202,8.28,11.27,10.66,2.81,295.9,91.6
203,8.34,21.79,20.84,2.9,296.4,91.3
204,8.36,54.56,52.16,3.3,286.35,91.3
205,8.31,81.77,78.4,3.76,285.35,92.1
206,8.29,123.1,119.2,3.59,276.25,92.35
207,8.42,182.8,175.85,3.57,284.3,90.9
208,8.61,195.2,187.75,3.76,286.45,89.75
209,8.66,153.9,149.55,3.68,264.55,89.6
210,8.66,117.55,114.6,3.48,266.3,89.7
211,8.7,123.1,119.4,3.47,305.35,89.4
212,8.73,133.7,129.75,3.97,307.95,88.7
213,8.76,122.7,119.7,4.2,287.45,88.45
214,8.66,139,135.45,4.4,296.45,91
215,8.27,165.5,161.35,5,309.45,94.5
216,8.03,233.35,222.9,4.68,329.2,94.5
217,8.43,373.25,297.45,4.95,332.1,88.3
218,8.93,445.2,293.8,6.06,320.5,82
219,9.15,412,245.2,5.77,314.85,81.35
220,9,337.75,208.4,5.16,320.8,81.15
221,8.92,290.7,211.35,4.98,310.55,79.57
222,9.04,252.7,212.85,5.31,320.2,79.29
223,8.85,161.75,152.8,5.59,329.85,81.37
224,8.54,140.95,134.7,5.53,319.25,81.12
225,8.3,250.4,209.3,5.45,303.85,79.82
226,8.39,345.45,261.15,4.58,291.5,79.69
227,8.8,340.5,251.45,3.62,299.65,77.86
228,9.27,275.35,200.65,4.21,152.22,74.5
229,9.45,195.5,158.85,5.43,172.52,70.54
230,9.41,155.65,150.1,6.01,344.15,67.47
231,9.38,152.45,147.95,6.34,340.15,67.79
232,9.21,155.1,148.7,6.29,324.7,70.54
233,9.15,181.2,171.4,5.87,315.95,71.94
234,9.14,193.3,184.4,5.96,300.15,73.04
235,8.97,209.5,182.95,6.02,308.15,75.03
236,8.81,209.15,169.8,5.52,328.6,76.5
237,8.78,182.25,164.6,4.52,317.65,76.97
238,8.89,161.15,156.9,3.64,302.95,75.91
239,8.98,131.3,127,3.92,297.5,75.49
240,8.72,108,104.5,4.93,314,78.21
241,8.41,128.4,122.95,5.1,316.8,80.25
242,8.35,136.55,131.15,4.94,324.65,80.3
243,8.34,112.05,106.45,4.81,327.75,80.5
244,8.34,92.68,87.94,4.1,333.7,80.9
245,8.3,98.03,80.63,3.96,342.6,81.1
246,8.39,147.8,87.8,3.77,330.4,80.6
247,8.42,124.32,78.94,3.73,318.75,80.4
248,8.3,79.46,59.87,3.55,293.1,79.93
249,8.52,89.8,43.85,2.92,270.35,78.18
250,8.82,91.4,43.92,2.61,274.75,77.14
251,8.87,74.02,44.3,2.4,282.8,77.78
252,8.61,45.77,31.97,2.35,302.85,78.82
253,8.28,26.21,20.01,2.17,321.65,78.82
254,8.09,17.41,13.42,2.2,321.5,79.01
255,7.87,8.84,7.52,2.5,309.7,80.16
256,7.56,3.61,3.16,2.66,305.1,81.8
257,7.22,1.12,0.86,2.53,312.1,83.4
258,6.98,0.39,0.21,2.48,311.4,84.25
259,6.8,0.36,0.17,2.48,308.1,84.65
260,6.68,0.35,0.17,2.44,314.1,84.9
261,6.61,0.35,0.17,2.67,325.85,85.15
262,6.46,0.35,0.17,2.93,331.7,85.8
263,6.26,0.35,0.17,2.81,333.4,86.55
264,6.06,0.35,0.17,2.31,318.05,87.1
265,5.79,0.35,0.17,1.75,284.65,88.05
266,5.47,0.35,0.17,1.25,217.7,89.35
267,5.17,0.35,0.17,0.86,91.14,90.15
268,4.92,0.34,0.17,1.11,181.29,90.75
269,5.01,0.34,0.17,1.6,177.24,90.15
270,5.29,0.35,0.17,1.42,124.09,89.25
271,5.06,0.34,0.17,1.14,221.25,89.9
272,4.44,0.34,0.17,0.79,128.54,91.6
273,4.04,0.34,0.17,0.52,50.9,93.3
274,3.98,0.34,0.17,1.11,20.08,93.4
275,4.3,0.34,0.17,1.53,142.77,91.3
276,4,0.34,0.17,1.29,232.7,92.2
277,3.13,0.34,0.17,0.97,133.15,95.4
278,2.66,0.34,0.17,0.89,58.95,96.45
279,2.36,0.34,0.17,0.79,109.9,96.5
280,1.99,0.34,0.17,0.87,160.3,97.2
281,1.91,0.34,0.17,0.95,112.95,98.1
282,1.93,0.34,0.17,0.68,222.2,97.8
283,1.68,0.34,0.17,0.63,249.95,97.8
284,1.43,0.34,0.17,1.43,139.15,98.55
285,1.97,0.34,0.17,2.14,65.85,98.3
286,2.61,0.34,0.17,1.69,74.95,96.7
287,2.37,0.34,0.17,1.07,249.4,96.1
288,2.09,0.34,0.17,1.16,230.8,96.7
289,1.83,0.34,0.17,1.13,122.05,97.4
290,1.25,0.34,0.17,1.04,121.6,98
291,0.84,0.34,0.17,0.89,92.96,98.45
292,0.76,0.34,0.17,0.85,137.16,98.8
293,0.57,0.34,0.17,0.95,117.68,99.15
294,0.54,0.34,0.17,0.57,64.83,99.1
295,0.42,0.34,0.17,0.69,97.65,99.1
296,0.31,0.34,0.17,0.82,51.39,99.35
297,0.3,0.34,0.17,0.88,54.99,99.4
298,0.11,0.34,0.17,1.35,76.9,99.45
299,0.04,0.34,0.17,1.45,100.55,99.8
300,0.04,0.34,0.17,1.23,78.85,99.95
301,0.04,0.34,0.17,1.32,70.45,99.85
302,0.02,0.34,0.17,1.24,92.78,99.9
303,-0.1,0.34,0.17,0.74,65.44,99.95
304,-0.45,0.34,0.17,0.5,65.26,99.95
305,-0.67,0.34,0.17,0.82,65.92,100
306,-0.62,0.34,0.17,0.66,131.9,100
307,-0.72,0.34,0.17,0.41,138.7,100
308,-0.78,0.34,0.17,0.96,69.25,100
309,-0.76,0.34,0.17,1.24,101.85,100
310,-0.93,0.34,0.17,1.01,124.2,100
311,-1.13,0.34,0.17,0.84,135.45,100
312,-1.29,0.34,0.17,0.74,111.23,100
313,-1.29,0.34,0.17,1.03,25.74,100
314,-1.13,0.34,0.17,1.12,70.35,100
315,-1.16,0.34,0.17,0.71,91.47,100
316,-1.34,0.34,0.17,0.88,95.77,100
317,-1.34,0.34,0.17,1.16,122.95,100
318,-1.17,0.34,0.17,0.87,122.15,100
319,-1.19,0.34,0.17,0.74,99.08,100
320,-1.28,0.34,0.17,0.97,53.05,100
321,-1.31,0.34,0.17,1.01,45.86,100
322,-1.36,0.34,0.17,0.97,80.54,100
323,-1.43,0.34,0.17,0.78,77.48,100
324,-1.13,0.34,0.17,0.64,86.13,100
325,-1.06,0.62,0.36,0.91,99.27,100
326,-1.32,2.02,1.62,0.72,112.22,100
327,-1.14,5.55,5.05,0.95,137.15,100
328,-0.58,10.89,10.26,1.25,77.65,100
329,-0.33,18.09,17.08,0.74,22.5,100
330,-0.52,28.64,27.02,0.7,81.35,100
331,-0.42,38.32,36.5,0.77,131.1,100
332,-0.16,53.88,42.66,0.61,116.8,100
333,0.03,59.32,46.97,0.63,103.8,100
334,0.19,61.5,57.49,0.61,84.35,100
335,0.35,74.91,71.11,0.62,91.05,100
336,0.51,115.12,84.59,0.84,90.4,99.65
337,1.1,189.8,79.59,0.81,112.1,98.65
338,2.37,246.25,61.31,0.61,243.2,95.95
339,3.61,257.9,54.01,0.72,261.2,91.55
340,4.22,267.45,49.32,0.96,183.7,88.55
341,4.78,293.85,48.17,1.03,210.05,85.1
342,5.45,317.35,50.4,1.13,154.52,81.9
343,5.89,340.25,51.9,1.04,94.83,79.72
344,6.13,359.75,51.37,1.28,99.25,75.24
345,6,376.55,49.9,2.37,90.55,71.96
346,6.06,389.45,49.17,2.51,113.7,70.36
347,6.26,385.3,50.81,2.63,98.07,68.39
348,6.23,398.85,48.57,3.36,79.47,66.76
349,6.29,430,44.03,3.46,95.35,65.93
350,6.49,443.3,42.3,3.21,107.2,65.88
351,6.79,456.15,43.35,2.61,107.3,65.91
352,6.85,477.2,44.78,2.54,87.23,65.1
353,6.78,493.9,45.07,2.97,84.53,64.89
354,6.89,503.3,46,2.67,92.95,64.2
355,7.01,512.85,46.79,2.21,56.05,63.3
356,7.11,520.45,48.35,2.09,33.05,62.99
357,7.27,535.1,48.72,2.09,55.12,63.03
358,7.46,549.45,48.79,2.18,76.33,62.22
359,7.6,557.05,51.29,2.13,67.66,60.75
360,7.71,563.35,52.45,1.97,56.75,60.92
361,7.9,565.85,51.33,1.79,52.76,61.57
362,8.18,570.25,53.58,1.81,56.87,60.76
363,8.26,581.9,66.12,1.48,44.67,59.2
364,8.58,588.4,76.95,0.84,128.1,59.03
365,9.62,581.55,70.26,0.67,127.39,57
366,9.61,572.25,58.97,1.34,14.95,55.65
367,8.82,560.55,55.1,1.72,112.4,56.54
368,9.14,533.85,57.54,1.05,111.29,55.15
369,9.71,512.3,60.52,0.87,107.34,53.3
370,10.11,508.6,64.6,0.87,141.45,52.74
371,10.15,503.05,60.84,1.21,109.95,56.11
372,9.69,496.2,51.56,1.49,180.55,56.19
373,10,495.35,49.85,0.81,223.75,51.85
374,10.48,486.4,51.71,0.94,211.8,51.75
375,10.35,467.1,55.18,1.18,140.63,52.77
376,10.05,450.55,57.36,1.41,150.48,54.28
377,10.06,403.7,60.99,1.66,206.4,53.58
378,10.06,364.9,64.29,1.52,224.4,50.43
379,10.38,384.45,61.89,1.11,205.3,49.6
380,10.64,404.25,56.31,1.15,169.6,50.95
381,10.56,395.55,55.53,1.25,238.35,50.83
382,10.77,364.1,59.46,0.96,217.3,49.52
383,10.87,324.35,62.99,1.07,165.6,49.88
384,10.63,297.6,69.49,1.31,194.8,51.6
385,10.26,278.85,76.13,1.75,202.7,52.9
386,10.13,261.85,80.23,1.95,215,53.33
387,10.12,242.15,80.7,1.74,210.5,53.44
388,10.05,224.4,77.66,1.62,195.6,54.01
389,9.82,198.1,73.96,2.01,203.85,55.58
390,9.64,166.9,69.21,2.1,192.8,56.18
391,9.52,148.8,63.43,2.16,196.4,56.21
392,9.35,127.3,55.86,2.4,212.4,57.26
393,9.1,105.25,49.61,2.62,197.2,58.29
394,8.84,83.57,44.47,2.97,176.45,59.03
395,8.59,61.18,37.08,2.84,158.75,59.69
396,8.45,44.95,29.78,2.37,167.1,60.17
397,8.27,32.73,24.28,1.98,189.3,61.35
398,8,22.21,18.52,1.69,182,62.89
399,7.73,12.4,11.09,1.37,167.2,63.87
400,7.47,4.96,4.47,1.29,164.5,64.25
401,7.23,1.43,1.12,1.42,150.5,64.65
402,7.13,0.43,0.23,1.32,139.05,64.73
403,7.06,0.36,0.17,1.03,157.05,65.3
404,6.8,0.36,0.17,0.73,167.15,65.81
405,6.45,0.35,0.17,0.55,156.25,68.33
406,5.95,0.35,0.17,0.7,191.1,72.39
407,5.28,0.34,0.17,0.69,181.4,74.1
408,5.11,0.34,0.17,0.55,139.25,75.21
409,5.08,0.34,0.17,0.83,146.55,75.17
410,4.88,0.34,0.17,1.04,144.75,75.04
411,4.72,0.34,0.17,1.16,130.9,75.77
412,4.62,0.34,0.17,1.14,129.65,75.97
413,4.61,0.34,0.17,1.19,146.8,76.15
414,4.53,0.34,0.17,1.28,142.65,77.18
415,4.48,0.34,0.17,0.96,125.45,78.84
416,4.37,0.34,0.17,0.75,126.25,79.67
417,4.3,0.34,0.17,0.87,139.1,80.03
418,4.34,0.34,0.17,0.99,148.6,81
419,4.23,0.34,0.17,1.06,170.15,82.75
420,3.88,0.34,0.17,1.37,167.85,85.2
421,3.77,0.34,0.17,1.43,147.05,85.9
422,3.96,0.34,0.17,1.15,138.4,85.35
423,4.05,0.34,0.17,1.06,141.15,85.5
424,3.96,0.34,0.17,1.11,154.95,86.2
425,3.82,0.34,0.17,1.17,152.6,87.2
426,3.64,0.34,0.17,1.23,159.95,88
427,3.55,0.34,0.17,1.27,187.2,88.9
428,3.67,0.34,0.17,1.31,199.25,89.5
429,3.74,0.34,0.17,1.6,203.8,89.6
430,3.79,0.34,0.17,2.05,223.2,89.8
431,3.9,0.34,0.17,2.34,235.65,90.35
432,3.9,0.34,0.17,2.29,216.2,90.85
433,3.77,0.34,0.17,2.37,225.25,91.1
434,3.69,0.34,0.17,2.45,237.9,91.4
435,3.67,0.34,0.17,2.15,227.95,92.2
436,3.91,0.34,0.17,1.79,229.45,92.1
437,4.12,0.34,0.17,1.72,209.2,90.4
438,3.99,0.35,0.17,1.77,197.6,88.95
439,3.79,0.34,0.17,1.92,198.3,88.75
440,3.53,0.34,0.17,2.07,213.75,89.1
441,3.37,0.34,0.17,2.04,234.8,89.05
442,3.43,0.34,0.17,2.2,225.5,88.7
443,3.53,0.34,0.17,2.38,223.45,88.55
444,3.59,0.34,0.17,2.28,217.2,88.55
445,3.62,0.34,0.17,2.15,199.15,88.7
446,3.58,0.34,0.17,2.03,197.65,89
447,3.56,0.35,0.17,1.98,194.35,89.25
448,3.59,0.35,0.17,1.73,200,89.7
449,3.66,0.35,0.17,1.62,212.75,90.05
450,3.73,0.34,0.17,1.99,213.65,89.95
451,3.81,0.34,0.17,2.36,206.85,89.25
452,3.89,0.34,0.17,2.37,200.8,88.7
453,3.95,0.34,0.17,2.08,209.5,88.65
454,4,0.35,0.17,1.88,204.35,88.55
455,4.04,0.35,0.17,2,204.6,88.1
456,4.07,0.35,0.17,2.15,210.95,87.6
457,4.13,0.35,0.17,2.11,210.6,87.45
458,4.16,0.36,0.17,1.96,212.25,87.5
459,4.09,0.36,0.17,1.87,203.05,87.85
460,4.01,0.35,0.17,1.9,213.4,88.2
461,4,0.35,0.17,1.92,212.6,88.3
462,4.04,0.35,0.17,2.05,208.2,88.1
463,4.1,0.35,0.17,2.17,219,87.85
464,4.14,0.36,0.17,2.12,245.35,87.75
465,4.12,0.36,0.17,1.92,239.5,88
466,4.03,0.36,0.17,1.98,203.4,88.45
467,3.99,0.36,0.17,1.94,197.65,88.5
468,4.03,0.37,0.17,1.91,222.05,88.2
469,4.06,0.43,0.23,2.13,243.35,88
470,4.09,1.06,0.75,2.28,200.2,87.75
471,4.16,2.69,2.3,2.44,191.8,87.45
472,4.22,6.37,5.93,2.52,225.75,87.4
473,4.27,13.34,12.72,2.57,214,87.3
474,4.34,25.42,24.6,2.57,211.4,87.15
475,4.47,40.98,39.97,2.59,274.7,86.8
476,4.64,54.32,53.33,2.63,285.2,86.25
477,4.77,65.77,64.18,2.27,237.6,85.8
478,4.88,73.28,70.67,2.14,209.8,85.5
479,4.99,82.61,79.66,2.22,205.8,85.35
480,5.11,98.55,95.6,2.15,219.4,85.2
481,5.25,112.05,109.85,1.99,228.15,85.15
482,5.43,133.8,130.6,1.85,229.6,84.9
483,5.69,208.45,176.4,1.91,189.8,83.35
484,6.46,360,240.9,1.76,192.45,79.73
485,7.31,415.35,268.15,1.99,217.5,77.79
486,7.42,273.4,212.95,2.33,232.15,76.36
487,7.29,163.9,158.9,2.44,258.1,75.38
488,7.28,170.45,166.1,2.47,231.95,76.57
489,7.24,173.6,169.95,2.35,211.25,77.61
490,7.16,155.1,151.85,2.46,223.15,78.14
491,7.01,156.05,152,3,242.25,78.54
492,6.94,187.55,182.8,3.57,244.5,78.9
493,7.05,214.85,210.6,3.24,234.75,78.67
494,7.26,245.95,233.95,2.72,248.05,78.06
495,7.5,274.45,254.55,2.57,227.05,77.07
496,7.64,260.8,247.75,2.78,231.3,76.76
497,7.64,232.15,226.5,3.42,254.7,75.82
498,7.78,206.15,202.6,3.15,246.1,74.46
499,7.96,180.6,178.2,2.55,217.4,74.72
500,8.05,167.7,163,2.77,189.7,75.14
501,8.12,160.45,154.6,2.87,203.25,75.17
502,8.26,159,154.75,2.43,233.9,74.58
503,8.47,202.95,197.95,2.88,256.1,73.36
504,8.59,235,227.25,3.13,193.4,72.96
505,8.71,233.85,224.8,2.53,200.55,72.83
506,8.81,231.85,224.45,3.11,261.9,72.93
507,8.73,228.95,221.15,3.97,256.05,73.38
508,8.79,261.8,245.65,3.84,262.05,72.58
509,9.14,315.1,279.55,3.03,236.95,71.38
510,9.37,296.15,265.1,2.87,232.4,71.7
511,9.38,294.45,264.1,3.62,244.45,71.75
512,9.33,343.4,294.1,4.09,231.95,71.23
513,9.5,352.45,311.5,4.06,234.1,70.56
514,9.91,377.85,302.9,3.64,236.9,68.92
515,10.26,391.25,274.45,3.31,233.1,67.54
516,10.29,343.45,227.5,3.84,253.85,67.42
517,10.13,255.1,173.85,3.51,245.65,67.64
518,10.11,228.6,166.65,2.84,213.05,66.79
519,10.65,364.9,171.65,2.93,231.35,64.4
520,11.24,451.45,165.85,2.76,250.05,62.45
521,11.31,436.75,162.4,3.46,262.25,62.49
522,11.16,359.8,151.45,3.74,217.15,64.37
523,10.89,321.3,139.4,3.22,202.8,65.36
524,10.92,364.15,136.1,2.66,253.3,64.41
525,10.96,281,128.4,2.47,258.4,65.23
526,10.57,212.05,119.5,2.74,246.45,66.33
527,10.31,171.05,113.55,2.46,223.25,66.65
528,10.14,111.3,104.05,3.07,226.15,67.86
529,9.94,112.3,95.05,3.43,233.9,68.15
530,9.97,108.5,91,3.01,230.6,67.99
531,10.03,141.45,91.1,3.16,240.55,67.54
532,10.11,174.15,96.9,3.22,228.55,67.69
533,10.15,177.8,96.8,3.15,236.45,67.63
534,10.14,171.1,89.55,3.28,250.2,66.79
535,10.03,138.6,77.41,3.3,226.6,66.53
536,9.87,120.4,69.71,2.99,231.3,66.54
537,9.7,92.63,62.56,2.64,218.1,67.89
538,9.47,72.6,54.36,2.43,214.45,69.32
539,9.25,56.51,46.48,2.91,238.5,69.7
540,8.95,38.63,34.88,3.36,184.1,70.51
541,8.58,25,23.55,3.66,160.05,71.62
